user,repo,fun_exported
YaoxiangLi,ggpca,ggpca
YaoxiangLi,ggpca,run_app
thomasp85,ggforce,FacetCol
thomasp85,ggforce,FacetGridPaginate
thomasp85,ggforce,FacetMatrix
thomasp85,ggforce,FacetRow
thomasp85,ggforce,FacetStereo
thomasp85,ggforce,FacetWrapPaginate
thomasp85,ggforce,FacetZoom
thomasp85,ggforce,GeomArc
thomasp85,ggforce,GeomArc0
thomasp85,ggforce,GeomArcBar
thomasp85,ggforce,GeomAutoarea
thomasp85,ggforce,GeomAutorect
thomasp85,ggforce,GeomBezier0
thomasp85,ggforce,GeomBspline0
thomasp85,ggforce,GeomBsplineClosed0
thomasp85,ggforce,GeomCircle
thomasp85,ggforce,GeomMarkCircle
thomasp85,ggforce,GeomMarkEllipse
thomasp85,ggforce,GeomMarkHull
thomasp85,ggforce,GeomMarkRect
thomasp85,ggforce,GeomParallelSetsAxes
thomasp85,ggforce,GeomShape
thomasp85,ggforce,PositionAuto
thomasp85,ggforce,PositionFloatstack
thomasp85,ggforce,PositionJitterNormal
thomasp85,ggforce,StatArc
thomasp85,ggforce,StatArc0
thomasp85,ggforce,StatArc2
thomasp85,ggforce,StatArcBar
thomasp85,ggforce,StatAutobin
thomasp85,ggforce,StatAutodensity
thomasp85,ggforce,StatBezier
thomasp85,ggforce,StatBezier0
thomasp85,ggforce,StatBezier2
thomasp85,ggforce,StatBspline
thomasp85,ggforce,StatBspline2
thomasp85,ggforce,StatCircle
thomasp85,ggforce,StatDelaunaySegment
thomasp85,ggforce,StatDelaunaySegment2
thomasp85,ggforce,StatDelaunayTile
thomasp85,ggforce,StatDelvorSummary
thomasp85,ggforce,StatDiagonal
thomasp85,ggforce,StatDiagonal0
thomasp85,ggforce,StatDiagonal2
thomasp85,ggforce,StatDiagonalWide
thomasp85,ggforce,StatEllip
thomasp85,ggforce,StatErr
thomasp85,ggforce,StatLink
thomasp85,ggforce,StatLink2
thomasp85,ggforce,StatParallelSets
thomasp85,ggforce,StatParallelSetsAxes
thomasp85,ggforce,StatPie
thomasp85,ggforce,StatRegon
thomasp85,ggforce,StatSina
thomasp85,ggforce,StatSpiro
thomasp85,ggforce,StatVoronoiSegment
thomasp85,ggforce,StatVoronoiTile
thomasp85,ggforce,facet_col
thomasp85,ggforce,facet_grid_paginate
thomasp85,ggforce,facet_matrix
thomasp85,ggforce,facet_row
thomasp85,ggforce,facet_stereo
thomasp85,ggforce,facet_wrap_paginate
thomasp85,ggforce,facet_zoom
thomasp85,ggforce,gather_set_data
thomasp85,ggforce,geom_arc
thomasp85,ggforce,geom_arc0
thomasp85,ggforce,geom_arc2
thomasp85,ggforce,geom_arc_bar
thomasp85,ggforce,geom_autodensity
thomasp85,ggforce,geom_autohistogram
thomasp85,ggforce,geom_autopoint
thomasp85,ggforce,geom_bezier
thomasp85,ggforce,geom_bezier0
thomasp85,ggforce,geom_bezier2
thomasp85,ggforce,geom_bspline
thomasp85,ggforce,geom_bspline0
thomasp85,ggforce,geom_bspline2
thomasp85,ggforce,geom_bspline_closed
thomasp85,ggforce,geom_bspline_closed0
thomasp85,ggforce,geom_circle
thomasp85,ggforce,geom_delaunay_segment
thomasp85,ggforce,geom_delaunay_segment2
thomasp85,ggforce,geom_delaunay_tile
thomasp85,ggforce,geom_diagonal
thomasp85,ggforce,geom_diagonal0
thomasp85,ggforce,geom_diagonal2
thomasp85,ggforce,geom_diagonal_wide
thomasp85,ggforce,geom_ellipse
thomasp85,ggforce,geom_link
thomasp85,ggforce,geom_link0
thomasp85,ggforce,geom_link2
thomasp85,ggforce,geom_mark_circle
thomasp85,ggforce,geom_mark_ellipse
thomasp85,ggforce,geom_mark_hull
thomasp85,ggforce,geom_mark_rect
thomasp85,ggforce,geom_parallel_sets
thomasp85,ggforce,geom_parallel_sets_axes
thomasp85,ggforce,geom_parallel_sets_labels
thomasp85,ggforce,geom_regon
thomasp85,ggforce,geom_shape
thomasp85,ggforce,geom_sina
thomasp85,ggforce,geom_spiro
thomasp85,ggforce,geom_voronoi_segment
thomasp85,ggforce,geom_voronoi_tile
thomasp85,ggforce,interpolateDataFrame
thomasp85,ggforce,label_tex
thomasp85,ggforce,linear_trans
thomasp85,ggforce,n_pages
thomasp85,ggforce,position_auto
thomasp85,ggforce,position_jitternormal
thomasp85,ggforce,power_trans
thomasp85,ggforce,radial_trans
thomasp85,ggforce,scale_depth
thomasp85,ggforce,scale_depth_continuous
thomasp85,ggforce,scale_depth_discrete
thomasp85,ggforce,scale_x_unit
thomasp85,ggforce,scale_y_unit
thomasp85,ggforce,shapeGrob
thomasp85,ggforce,stat_arc
thomasp85,ggforce,stat_arc0
thomasp85,ggforce,stat_arc2
thomasp85,ggforce,stat_arc_bar
thomasp85,ggforce,stat_bezier
thomasp85,ggforce,stat_bezier0
thomasp85,ggforce,stat_bezier2
thomasp85,ggforce,stat_bspline
thomasp85,ggforce,stat_bspline0
thomasp85,ggforce,stat_bspline2
thomasp85,ggforce,stat_bspline_closed
thomasp85,ggforce,stat_circle
thomasp85,ggforce,stat_delvor_summary
thomasp85,ggforce,stat_diagonal
thomasp85,ggforce,stat_diagonal0
thomasp85,ggforce,stat_diagonal2
thomasp85,ggforce,stat_diagonal_wide
thomasp85,ggforce,stat_ellip
thomasp85,ggforce,stat_err
thomasp85,ggforce,stat_link
thomasp85,ggforce,stat_link2
thomasp85,ggforce,stat_parallel_sets
thomasp85,ggforce,stat_parallel_sets_axes
thomasp85,ggforce,stat_pie
thomasp85,ggforce,stat_regon
thomasp85,ggforce,stat_sina
thomasp85,ggforce,stat_spiro
thomasp85,ggforce,theme_no_axes
thomasp85,ggforce,trans_reverser
lionel-,ggstance,GeomBarh
lionel-,ggstance,GeomBoxploth
lionel-,ggstance,GeomColh
lionel-,ggstance,GeomCrossbarh
lionel-,ggstance,GeomErrorbarh
lionel-,ggstance,GeomLinerangeh
lionel-,ggstance,GeomPointrangeh
lionel-,ggstance,GeomViolinh
lionel-,ggstance,PositionDodge2v
lionel-,ggstance,PositionDodgev
lionel-,ggstance,PositionFillv
lionel-,ggstance,PositionJitterdodgev
lionel-,ggstance,PositionStackv
lionel-,ggstance,StatBinh
lionel-,ggstance,StatBoxploth
lionel-,ggstance,StatCounth
lionel-,ggstance,StatXdensity
lionel-,ggstance,draw_key_boxploth
lionel-,ggstance,draw_key_crossbarh
lionel-,ggstance,draw_key_hpath
lionel-,ggstance,draw_key_pointrangeh
lionel-,ggstance,geom_barh
lionel-,ggstance,geom_boxploth
lionel-,ggstance,geom_colh
lionel-,ggstance,geom_crossbarh
lionel-,ggstance,geom_errorbarh
lionel-,ggstance,geom_histogramh
lionel-,ggstance,geom_linerangeh
lionel-,ggstance,geom_pointrangeh
lionel-,ggstance,geom_violinh
lionel-,ggstance,mean_cl_boot_h
lionel-,ggstance,mean_cl_normal_h
lionel-,ggstance,mean_sdl_h
lionel-,ggstance,mean_se_h
lionel-,ggstance,median_hilow_h
lionel-,ggstance,position_dodge2v
lionel-,ggstance,position_dodgev
lionel-,ggstance,position_fillv
lionel-,ggstance,position_jitterdodgev
lionel-,ggstance,position_stackv
lionel-,ggstance,stat_binh
lionel-,ggstance,stat_boxploth
lionel-,ggstance,stat_counth
lionel-,ggstance,stat_summaryh
lionel-,ggstance,stat_xdensity
thomasp85,ggraph,FacetEdges
thomasp85,ggraph,FacetGraph
thomasp85,ggraph,FacetNodes
thomasp85,ggraph,GeomAxisHive
thomasp85,ggraph,GeomEdgeBezier
thomasp85,ggraph,GeomEdgeBspline
