exported_fun,type,argument,default_or_fixed,object,expected_object,fun_prefix,expected_type
geom_abline,stat,StatIdentity,fixed,StatIdentity,GeomAbline,geom_,geom
geom_abline,geom,GeomAbline,fixed,GeomAbline,GeomAbline,geom_,geom
geom_abline,position,PositionIdentity,fixed,PositionIdentity,GeomAbline,geom_,geom
geom_area,stat,"""align""",default,StatAlign,GeomArea,geom_,geom
geom_area,position,"""stack""",default,PositionStack,GeomArea,geom_,geom
geom_area,geom,GeomArea,fixed,GeomArea,GeomArea,geom_,geom
geom_bar,stat,"""count""",default,StatCount,GeomBar,geom_,geom
geom_bar,position,"""stack""",default,PositionStack,GeomBar,geom_,geom
geom_bar,geom,GeomBar,fixed,GeomBar,GeomBar,geom_,geom
geom_bin2d,stat,"""bin2d""",default,StatBin2d,GeomBin2d,geom_,geom
geom_bin2d,position,"""identity""",default,PositionIdentity,GeomBin2d,geom_,geom
geom_bin2d,geom,GeomTile,fixed,GeomTile,GeomBin2d,geom_,geom
geom_bin_2d,stat,"""bin2d""",default,StatBin2d,GeomBin2d,geom_,geom
geom_bin_2d,position,"""identity""",default,PositionIdentity,GeomBin2d,geom_,geom
geom_bin_2d,geom,GeomTile,fixed,GeomTile,GeomBin2d,geom_,geom
geom_blank,stat,"""identity""",default,StatIdentity,GeomBlank,geom_,geom
geom_blank,position,"""identity""",default,PositionIdentity,GeomBlank,geom_,geom
geom_blank,geom,GeomBlank,fixed,GeomBlank,GeomBlank,geom_,geom
geom_boxplot,stat,"""boxplot""",default,StatBoxplot,GeomBoxplot,geom_,geom
geom_boxplot,position,"""dodge2""",default,PositionDodge2,GeomBoxplot,geom_,geom
geom_boxplot,geom,GeomBoxplot,fixed,GeomBoxplot,GeomBoxplot,geom_,geom
geom_col,position,"""stack""",default,PositionStack,GeomCol,geom_,geom
geom_col,stat,"""identity""",default,StatIdentity,GeomCol,geom_,geom
geom_col,geom,GeomCol,fixed,GeomCol,GeomCol,geom_,geom
geom_contour,stat,"""contour""",default,StatContour,GeomContour,geom_,geom
geom_contour,position,"""identity""",default,PositionIdentity,GeomContour,geom_,geom
geom_contour,geom,GeomContour,fixed,GeomContour,GeomContour,geom_,geom
geom_contour_filled,stat,"""contour_filled""",default,StatContourFilled,GeomContourFilled,geom_,geom
geom_contour_filled,position,"""identity""",default,PositionIdentity,GeomContourFilled,geom_,geom
geom_contour_filled,geom,GeomContourFilled,fixed,GeomContourFilled,GeomContourFilled,geom_,geom
geom_count,stat,"""sum""",default,StatSum,GeomCount,geom_,geom
geom_count,position,"""identity""",default,PositionIdentity,GeomCount,geom_,geom
geom_count,geom,GeomPoint,fixed,GeomPoint,GeomCount,geom_,geom
geom_crossbar,stat,"""identity""",default,StatIdentity,GeomCrossbar,geom_,geom
geom_crossbar,position,"""identity""",default,PositionIdentity,GeomCrossbar,geom_,geom
geom_crossbar,geom,GeomCrossbar,fixed,GeomCrossbar,GeomCrossbar,geom_,geom
geom_curve,stat,"""identity""",default,StatIdentity,GeomCurve,geom_,geom
geom_curve,position,"""identity""",default,PositionIdentity,GeomCurve,geom_,geom
geom_curve,geom,GeomCurve,fixed,GeomCurve,GeomCurve,geom_,geom
geom_density,stat,"""density""",default,StatDensity,GeomDensity,geom_,geom
geom_density,position,"""identity""",default,PositionIdentity,GeomDensity,geom_,geom
geom_density,geom,GeomDensity,fixed,GeomDensity,GeomDensity,geom_,geom
